Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"DataLoader",102,102,50017897637,490371545.5,52251,559305723,0,0.0,0,0,50017897637,490371545.5,52251,559305723,0,0.0,0,0
"__and__",200,200,1854769,9273.8,7180,40530,0,0.0,0,0,1854769,9273.8,7180,40530,0,0.0,0,0
"__gt__",396,396,3204536,8092.3,6030,28651,0,0.0,0,0,3204536,8092.3,6030,28651,0,0.0,0,0
"__lt__",196,196,1546813,7891.9,6580,14680,0,0.0,0,0,1546813,7891.9,6580,14680,0,0.0,0,0
"__ne__",200,200,1376491,6882.5,5830,11540,0,0.0,0,0,1376491,6882.5,5830,11540,0,0.0,0,0
"__truediv__",200,200,1569411,7847.1,6120,43860,0,0.0,0,0,1569411,7847.1,6120,43860,0,0.0,0,0
"abs",200,200,1484676,7423.4,6600,15460,0,0.0,0,0,1484676,7423.4,6600,15460,0,0.0,0,0
"cat",2000,2000,25873446,12936.7,6010,115872,0,0.0,0,0,25873446,12936.7,6010,115872,0,0.0,0,0
"ceil",200,200,1825930,9129.6,7420,35951,0,0.0,0,0,1825930,9129.6,7420,35951,0,0.0,0,0
"cpu",1820,1820,4050025,2225.3,1360,26640,0,0.0,0,0,4050025,2225.3,1360,26640,0,0.0,0,0
"cudaDeviceSynchronize_v3020",3,3,29561,9853.7,3980,14461,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaMemcpyAsync_v3020",20,20,170365050,8518252.5,4141,24535592,169743848,8487192.4,1024,24486397,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",20,20,588079,29404.0,9171,53541,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"get_default_dtype",2200,2200,2962289,1346.5,880,12030,0,0.0,0,0,2962289,1346.5,880,12030,0,0.0,0,0
"has_names",2200,2200,3084863,1402.2,990,11590,0,0.0,0,0,3084863,1402.2,990,11590,0,0.0,0,0
"is_neg",1100,1100,1521432,1383.1,1110,7450,0,0.0,0,0,1521432,1383.1,1110,7450,0,0.0,0,0
"isfinite",200,200,6943887,34719.4,27500,142172,0,0.0,0,0,6943887,34719.4,27500,142172,0,0.0,0,0
"manual_seed",1,1,220352,220352.0,220352,220352,0,0.0,0,0,220352,220352.0,220352,220352,0,0.0,0,0
"masked_select",200,200,5018613,25093.1,19850,109111,0,0.0,0,0,5018613,25093.1,19850,109111,0,0.0,0,0
"max",200,200,1147849,5739.2,4520,19580,0,0.0,0,0,1147849,5739.2,4520,19580,0,0.0,0,0
"min",200,200,1428958,7144.8,5560,44771,0,0.0,0,0,1428958,7144.8,5560,44771,0,0.0,0,0
"ne",200,200,2672282,13361.4,11690,30680,0,0.0,0,0,2672282,13361.4,11690,30680,0,0.0,0,0
"normal_",8,8,2525403973,315675496.6,315114680,316794109,0,0.0,0,0,2525403973,315675496.6,315114680,316794109,0,0.0,0,0
"numpy",20,20,247606,12380.3,5240,138921,0,0.0,0,0,247606,12380.3,5240,138921,0,0.0,0,0
"ones",101,101,1763470,17460.1,12980,70161,0,0.0,0,0,1763470,17460.1,12980,70161,0,0.0,0,0
"reshape",1100,1100,6873133,6248.3,5190,34390,0,0.0,0,0,6873133,6248.3,5190,34390,0,0.0,0,0
"set_printoptions",101,101,430241,4259.8,2660,28601,0,0.0,0,0,430241,4259.8,2660,28601,0,0.0,0,0
"set_vital",2,2,9769,4884.5,2209,7560,0,0.0,0,0,9769,4884.5,2209,7560,0,0.0,0,0
"stack",300,300,4008332,13361.1,9280,37410,0,0.0,0,0,4008332,13361.1,9280,37410,0,0.0,0,0
"tensor",20,20,195694095,9784704.8,14921,79699316,0,0.0,0,0,195694095,9784704.8,14921,79699316,0,0.0,0,0
"unbind",1400,1400,23199981,16571.4,9270,169902,0,0.0,0,0,23199981,16571.4,9270,169902,0,0.0,0,0
"uniform_",12,12,15560574,1296714.5,5570,7533074,0,0.0,0,0,15560574,1296714.5,5570,7533074,0,0.0,0,0
