Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"DataLoader",103,11,5372510560,488410050.9,484928366,496396973,0,0.0,0,0,5372510560,488410050.9,484928366,496396973,0,0.0,0,0
"add_",8,88,5792758,65826.8,48840,114312,8403968,95499.6,93024,97952,4830412,54891.0,40280,96032,0,0.0,0,0
"backward",1,11,36457103,3314282.1,3180855,3416558,1420248,129113.5,128542,129759,34215985,3110544.1,2986392,3210917,32776767,2979706.1,2844605,3062017
"bmm",2,22,1520984,69135.6,51631,184692,890496,40477.1,19616,61248,1213112,55141.5,39571,171091,11712,532.4,0,1152
"cat",2002,22,1021352,46425.1,38131,68111,130270,5921.4,4000,7872,778858,35402.6,28360,55171,0,0.0,0,0
"cpu",1841,11,512428,46584.4,44901,48670,23776,2161.5,2112,2176,262482,23862.0,22560,25200,0,0.0,0,0
"cudaDeviceSynchronize_v3020",3,22,282554,12843.4,7190,30551,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaMemcpyAsync_v3020",35,165,10562969,64018.0,5591,526576,7099767,43028.9,1023,451680,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",35,165,5011118,30370.4,4070,53271,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"embedding_bag",16,176,33523627,190475.2,55951,376355,16821500,95576.7,77344,120672,31749178,180393.1,46990,361405,0,0.0,0,0
"index_elementwise_kernel",1,11,138722,12611.1,11690,16870,82145,7467.7,7328,7680,0,0.0,0,0,0,0.0,0,0
"linear",12,132,11510700,87202.3,44190,223252,5708060,43242.9,9441,116416,9052534,68579.8,33000,191472,1305216,9888.0,0,29119
"mse_loss",2,22,4294488,195204.0,71911,322264,120482,5476.5,4640,6272,3828045,174002.0,53531,301055,559135,25415.2,21439,30944
"multi_tensor_apply_kernel",2,22,185420,8428.2,7050,11130,636926,28951.2,24960,32832,0,0.0,0,0,0,0.0,0,0
"numpy",41,11,197252,17932.0,16231,21950,0,0.0,0,0,197252,17932.0,16231,21950,0,0.0,0,0
"ones",101,11,283193,25744.8,21630,31590,0,0.0,0,0,283193,25744.8,21630,31590,0,0.0,0,0
"relu",10,110,19395122,176319.3,21650,414735,811269,7375.2,2400,14432,18281024,166191.1,13831,394425,0,0.0,0,0
"sigmoid",2,22,818151,37188.7,26510,44680,46622,2119.2,1952,2272,602950,27406.8,18860,33430,0,0.0,0,0
"tensor",23,33,1121781,33993.4,17060,59331,51521,1561.2,0,4704,903717,27385.4,17060,40100,258850,7843.9,0,27520
"transpose",1,11,170372,15488.4,13570,18830,0,0.0,0,0,170372,15488.4,13570,18830,0,0.0,0,0
"view",1,11,165071,15006.5,13360,21140,0,0.0,0,0,165071,15006.5,13360,21140,0,0.0,0,0
